01.01,Msedge, Element [Quotes (dynamic)] - exists; Page [index.php]
02.02,Msedge, Element [Current Location] - exists; Page [index.php]
03.03,Msedge,Element [Weather Icon] - exists; Page [index.php]
04.04,Msedge, Element [Quotes (dynamic)] - exists; Page [index.php]
05.05,Msedge, Element [Title] - exists; Page [index.php]
06.06,Msedge, Element [First Name (label)] - exists; Page [index.php]
07.07,Msedge, Element [First Name (field)] - exists; Page [index.php]
08.08,Msedge, Element [Last Name (label)] - exists; Page [index.php]
09.09,Msedge, Element [Last Name (field)] - exists; Page [index.php]
10.10,Msedge, Element [Email (label)] - exists; Page [index.php]
11.11,Msedge, Element [Email (filed)] - exists; Page [index.php]
12.12,Msedge, Element [Phone (label)] - exists; Page [index.php]
13.13,Msedge, Element [Phone (field)] - exists; Page [index.php]
14.14,Msedge, Element [Genre (label)] - exists; Page [index.php]
15.15,Msedge, Element [Male (label)] - exists; Page [index.php]
16.16,Msedge, Element [Male (radio button)] - exists; Page [index.php]
17.17,Msedge, Element [Female (label)] - exists; Page [index.php]
18.18,Msedge, Element [Female (radio button)] - exists; Page [index.php]
19.19,Msedge, Element [State (label)] - exists; Page [index.php]
20.20,Msedge, Element [State (drop-down)] - exists; Page [index.php]
21.21,Msedge, Element [State California (item)] - exists; Page [index.php]
22.22,Msedge, Element [Terms (label)] - exists; Page [index.php]
23.23,Msedge, Element [Terms (checkbox)] - exists; Page [index.php]
24.24,Msedge, Element [Image (facebook)] - exists; Page [index.php]
25.25,Msedge, Element [Image (twitter)] - exists; Page [index.php]
26.26,Msedge, Element [Image (flickr)] - exists; Page [index.php]
27.27,Msedge, Element [Image (youtube)] - exists; Page [index.php]
28.28,Msedge, Element [Reset (button)] - exists; Page [index.php]
29.29,Msedge, Element [Submit (button)] - exists; Page [index.php]
30.30,Msedge, Element [Timestamp (dynamic)] - exists; Page [index.php]
31.31,Msedge, Element [Copyright (dynamic)] - exists; Page [index.php]
32.32,Msedge, Element [OS & Browser (dynamic)] - exists; Page [index.php]
33.33,Msedge, Element [Error Line] - exists; Page [index.php]
34.34,Msedge, Element [First Name Error] - exists; Page [index.php]
35.35,Msedge, Element [Last Name Error] - exists; Page [index.php]
36.36,Msedge, Element [Email Error] - exists; Page [index.php]
37.37,Msedge, Element [Phone Error] - exists; Page [index.php]
38.38,Msedge, Element [First Name Error (img)] - exists; Page [index.php]
39.39,Msedge, Element [Last Name Error (img)] - exists; Page [index.php]
40.40,Msedge, Element [Email Error (img)] - exists; Page [index.php]
41.41,Msedge, Element [Phone Error (img)] - exists; Page [index.php]
42.05,Msedge, Element [Title] - exists; Page [confirmation.php]
43.06,Msedge, Element [First Name (label)] - exists; Page [confirmation.php]
44.07,Msedge, Element [First Name (field)] - exists; Page [confirmation.php]
45.08,Msedge, Element [Last Name (label)] - exists; Page [confirmation.php]
46.09,Msedge, Element [Last Name (field)] - exists; Page [confirmation.php]
47.10,Msedge, Element [Email (label)] - exists; Page [confirmation.php]
48.11,Msedge, Element [Email (filed)] - exists; Page [confirmation.php]
49.12,Msedge, Element [Phone (label)] - exists; Page [confirmation.php]
50.13,Msedge, Element [Phone (field)] - exists; Page [confirmation.php]
51.14,Msedge, Element [Genre (label)] - exists; Page [confirmation.php]
52.42,Msedge, Element [Genre (field)] - exists; Page [confirmation.php]
53.43,Msedge, Element [Back (button)] - exists; Page [confirmation.php]
