01.01,Firefox, Element [Quotes (dynamic)] - exists; Page [index.php]
02.02,Firefox, Element [Current Location] - exists; Page [index.php]
03.03,Firefox, Element [Weather Icon] - exists; Page [index.php]
04.04,Firefox, Element [Quotes (dynamic)] - exists; Page [index.php]
05.05,Firefox, Element [Title] - exists; Page [index.php]
06.06,Firefox, Element [First Name (label)] - exists; Page [index.php]
07.07,Firefox, Element [First Name (field)] - exists; Page [index.php]
08.08,Firefox, Element [Last Name (label)] - exists; Page [index.php]
09.09,Firefox, Element [Last Name (field)] - exists; Page [index.php]
10.10,Firefox, Element [Email (label)] - exists; Page [index.php]
11.11,Firefox, Element [Email (filed)] - exists; Page [index.php]
12.12,Firefox, Element [Phone (label)] - exists; Page [index.php]
13.13,Firefox, Element [Phone (field)] - exists; Page [index.php]
14.14,Firefox, Element [Genre (label)] - exists; Page [index.php]
15.15,Firefox, Element [Male (label)] - exists; Page [index.php]
16.16,Firefox, Element [Male (radio button)] - exists; Page [index.php]
17.17,Firefox, Element [Female (label)] - exists; Page [index.php]
18.18,Firefox, Element [Female (radio button)] - exists; Page [index.php]
19.19,Firefox, Element [State (label)] - exists; Page [index.php]
20.20,Firefox, Element [State (drop-down)] - exists; Page [index.php]
21.21,Firefox, Element [State California (item)] - exists; Page [index.php]
22.22,Firefox, Element [Terms (label)] - exists; Page [index.php]
23.23,Firefox, Element [Terms (checkbox)] - exists; Page [index.php]
24.24,Firefox, Element [Image (facebook)] - exists; Page [index.php]
25.25,Firefox, Element [Image (twitter)] - exists; Page [index.php]
26.26,Firefox, Element [Image (flickr)] - exists; Page [index.php]
27.27,Firefox, Element [Image (youtube)] - exists; Page [index.php]
28.28,Firefox, Element [Reset (button)] - exists; Page [index.php]
29.29,Firefox, Element [Submit (button)] - exists; Page [index.php]
30.30,Firefox, Element [Timestamp (dynamic)] - exists; Page [index.php]
31.31,Firefox, Element [Copyright (dynamic)] - exists; Page [index.php]
32.32,Firefox, Element [OS & Browser (dynamic)] - exists; Page [index.php]
33.33,Firefox, Element [Error Line] - exists; Page [index.php]
34.34,Firefox, Element [First Name Error] - exists; Page [index.php]
35.35,Firefox, Element [Last Name Error] - exists; Page [index.php]
36.36,Firefox, Element [Email Error] - exists; Page [index.php]
37.37,Firefox, Element [Phone Error] - exists; Page [index.php]
38.38,Firefox, Element [First Name Error (img)] - exists; Page [index.php]
39.39,Firefox, Element [Last Name Error (img)] - exists; Page [index.php]
40.40,Firefox, Element [Email Error (img)] - exists; Page [index.php]
41.41,Firefox, Element [Phone Error (img)] - exists; Page [index.php]
42.05,Firefox, Element [Title] - exists; Page [confirmation.php]
43.06,Firefox, Element [First Name (label)] - exists; Page [confirmation.php]
44.07,Firefox, Element [First Name (field)] - exists; Page [confirmation.php]
45.08,Firefox, Element [Last Name (label)] - exists; Page [confirmation.php]
46.09,Firefox, Element [Last Name (field)] - exists; Page [confirmation.php]
47.10,Firefox, Element [Email (label)] - exists; Page [confirmation.php]
48.11,Firefox, Element [Email (filed)] - exists; Page [confirmation.php]
49.12,Firefox, Element [Phone (label)] - exists; Page [confirmation.php]
50.13,Firefox, Element [Phone (field)] - exists; Page [confirmation.php]
51.14,Firefox, Element [Genre (label)] - exists; Page [confirmation.php]
52.42,Firefox, Element [Genre (field)] - exists; Page [confirmation.php]
53.43,Firefox, Element [Back (button)] - exists; Page [confirmation.php]
